,languages,areas
0,awac1239,1
1,colo1256,1
2,arhu1242,1
3,nort2972,1
4,paez1247,1
5,imba1240,1
6,araw1276,2
7,trio1238,2
8,hixk1239,2
9,emer1243,2
10,nina1238,2
11,wara1303,2
12,chip1262,3
13,leco1242,3
14,cent2142,3
15,jaqa1244,3
16,chol1284,3
17,hual1241,3
18,tari1256,4
19,yane1238,4
20,apur1254,4
21,jama1261,4
22,bora1263,4
23,agua1253,4
24,kana1291,4
25,daww1239,4
26,hupd1244,4
27,muni1258,4
28,puin1248,4
29,urar1246,4
30,ship1254,4
31,mats1244,4
32,yami1256,4
33,cube1242,4
34,desa1247,4
35,coca1259,4
36,rikb1245,5
37,baur1253,5
38,pare1272,5
39,ikpe1245,5
40,wari1268,5
41,iton1250,5
42,kano1245,5
43,kwaz1243,5
44,yura1255,5
45,mose1249,5
46,saba1268,5
47,lako1248,5
48,trum1247,5
49,cavi1250,5
50,juru1256,5
51,karo1305,5
52,saki1248,5
53,sate1243,5
54,kama1373,5
55,moco1246,6
56,pila1245,6
57,boro1282,6
58,cane1242,6
59,wich1262,6
60,tapi1253,6
61,tehu1242,7
62,mapu1245,7
63,inga1252,1
64,tena1240,1
65,sala1272,1
66,chim1309,1
67,shua1257,1
68,sout2990,1
69,apal1257,2
70,caja1238,3
71,moch1259,3
72,huay1240,3
73,sanm1289,3
74,jauj1238,3
75,cusc1236,3
76,ayac1239,3
77,yauy1235,3
78,paca1245,3
79,nort2980,3
80,uruu1244,3
81,sout2991,3
82,call1235,3
83,chay1248,4
84,nhen1239,4
85,kari1311,5
86,awet1244,5
87,movi1243,5
88,mund1330,5
89,gavi1246,5
90,maku1278,5
91,wayo1238,5
92,sant1432,6
93,guat1253,6
94,xava1240,6
